Date,Open,High,Low,Close,Adj Close,Volume
2008-09-08,33.020000,33.590000,32.849998,32.919998,32.919998,8272
2008-09-09,32.810001,33.389999,32.500000,32.500000,32.500000,8431
2008-09-10,32.500000,33.150002,32.320000,32.320000,32.320000,26688
2008-09-11,32.500000,32.950001,31.840000,32.189999,32.189999,8507
2008-09-12,32.599998,32.860001,32.470001,32.860001,32.860001,7815
2008-09-15,31.799999,32.540001,31.000000,31.570000,31.570000,12260
2008-09-16,31.010000,31.459999,30.340000,30.820000,30.820000,21439
2008-09-17,31.389999,31.600000,30.129999,30.129999,30.129999,23966
2008-09-18,30.340000,31.000000,29.850000,29.850000,29.850000,17978
2008-09-19,31.600000,32.549999,31.510000,32.029999,32.029999,17986
2008-09-22,32.669998,32.700001,32.380001,32.419998,32.419998,5781
2008-09-23,31.639999,32.180000,31.350000,31.559999,31.559999,7103
2008-09-24,31.639999,31.639999,31.139999,31.190001,31.190001,5258
2008-09-25,31.389999,31.980000,31.209999,31.980000,31.980000,12776
2008-09-26,31.650000,31.840000,31.350000,31.580000,31.580000,43134
2008-09-29,31.330000,31.410000,30.290001,30.290001,30.290001,14552
2008-09-30,29.469999,31.340000,29.340000,30.440001,30.440001,158345
2008-10-01,30.730000,30.730000,30.340000,30.650000,30.650000,10038
2008-10-02,30.790001,31.100000,30.110001,30.110001,30.110001,168120
2008-10-03,30.150000,31.270000,30.049999,31.139999,31.139999,41304
2008-10-06,29.590000,30.170000,28.500000,28.790001,28.790001,80661
2008-10-07,29.250000,29.250000,28.410000,28.850000,28.850000,17758
2008-10-08,27.639999,29.000000,26.580000,26.760000,26.760000,269361
2008-10-09,27.389999,27.620001,25.930000,25.990000,25.990000,47329
2008-10-10,23.940001,24.860001,23.090000,24.309999,24.309999,159107
2008-10-13,25.360001,26.510000,25.320000,26.480000,26.480000,147872
2008-10-14,27.879999,28.700001,27.270000,27.580000,27.580000,283727
2008-10-15,27.379999,27.379999,25.500000,25.500000,25.500000,90206
2008-10-16,24.469999,25.719999,23.930000,24.150000,24.150000,64832
2008-10-17,25.320000,25.530001,24.450001,25.299999,25.299999,21694
2008-10-20,26.250000,26.250000,25.730000,25.900000,25.900000,18361
2008-10-21,26.629999,26.629999,25.959999,25.959999,25.959999,10333
2008-10-22,25.320000,25.430000,24.680000,24.700001,24.700001,24390
2008-10-23,24.360001,24.700001,23.620001,24.280001,24.280001,19617
2008-10-24,23.500000,23.500000,21.879999,23.270000,23.270000,59351
2008-10-27,23.000000,23.180000,21.920000,22.920000,22.920000,30565
2008-10-28,23.600000,23.860001,22.930000,23.180000,23.180000,51733
2008-10-29,23.180000,25.020000,23.180000,25.020000,25.020000,50620
2008-10-30,25.420000,25.920000,25.100000,25.100000,25.100000,19176
2008-10-31,25.180000,25.950001,24.930000,25.790001,25.790001,8770
2008-11-03,26.620001,26.620001,25.820000,26.150000,26.150000,15549
2008-11-04,26.209999,27.590000,26.209999,27.590000,27.590000,12761
2008-11-05,27.290001,27.330000,26.940001,27.230000,27.230000,128612
2008-11-06,26.360001,26.740000,25.480000,25.480000,25.480000,32652
2008-11-07,25.549999,25.780001,25.120001,25.670000,25.670000,9747
2008-11-10,26.799999,27.040001,26.209999,26.209999,26.209999,19190
2008-11-11,25.790001,25.830000,25.000000,25.049999,25.049999,22698
2008-11-12,25.379999,25.379999,23.959999,24.040001,24.040001,23402
2008-11-13,24.040001,24.350000,23.750000,24.219999,24.219999,108678
2008-11-14,25.160000,25.270000,24.670000,24.750000,24.750000,452181
2008-11-17,24.629999,24.719999,23.820000,23.820000,23.820000,5034
2008-11-18,23.889999,23.889999,23.330000,23.850000,23.850000,141609
2008-11-19,23.940001,23.940001,23.100000,23.100000,23.100000,9893
2008-11-20,22.559999,22.719999,21.980000,22.360001,22.360001,24438
2008-11-21,22.570000,22.660000,21.500000,21.740000,21.740000,51230
2008-11-24,22.129999,23.549999,22.100000,23.549999,23.549999,23185
2008-11-25,23.600000,24.430000,23.410000,23.870001,23.870001,46898
2008-11-26,23.730000,24.139999,23.309999,24.100000,24.100000,79718
2008-11-27,24.350000,24.500000,24.250000,24.440001,24.440001,32585
2008-11-28,24.530001,24.530001,24.040001,24.330000,24.330000,252190
2008-12-01,24.410000,24.410000,23.000000,23.000000,23.000000,70307
2008-12-02,22.770000,23.510000,22.549999,23.510000,23.510000,17676
2008-12-03,23.490000,23.799999,23.110001,23.799999,23.799999,26297
2008-12-04,23.709999,24.420000,23.650000,23.760000,23.760000,40691
2008-12-05,23.559999,23.559999,22.480000,22.670000,22.670000,34148
2008-12-08,24.180000,24.740000,24.000000,24.650000,24.650000,112160
2008-12-09,24.360001,25.559999,24.250000,25.070000,25.070000,125706
2008-12-10,25.150000,25.270000,24.860001,25.250000,25.250000,48118
2008-12-11,25.200001,25.629999,24.980000,25.299999,25.299999,43974
2008-12-12,24.660000,24.660000,23.709999,24.559999,24.559999,73815
2008-12-15,25.150000,25.160000,24.250000,24.389999,24.389999,289601
2008-12-16,24.459999,24.750000,24.340000,24.709999,24.709999,79685
2008-12-17,25.799999,25.799999,24.450001,24.680000,24.680000,112370
2008-12-18,24.910000,25.440001,24.500000,24.799999,24.799999,502031
2008-12-19,25.400000,25.420000,24.139999,24.600000,24.600000,582135
2008-12-22,24.900000,24.930000,23.879999,24.120001,24.120001,866278
2008-12-23,24.950001,24.950001,24.090000,24.090000,24.090000,942719
2008-12-29,24.690001,24.750000,24.020000,24.180000,24.180000,571856
2008-12-30,24.780001,26.250000,24.320000,26.250000,26.250000,216511
2009-01-02,25.049999,25.370001,24.969999,25.370001,25.370001,19728
2009-01-05,25.750000,25.750000,25.660000,25.700001,25.700001,320410
2009-01-06,26.049999,26.250000,25.870001,25.870001,25.870001,1929
2009-01-07,25.799999,25.879999,25.450001,25.480000,25.480000,152230
2009-01-08,25.340000,25.400000,25.000000,25.400000,25.400000,2250
2009-01-09,25.250000,25.340000,25.209999,25.209999,25.209999,450
2009-01-12,24.950001,24.950001,24.950001,24.950001,24.950001,450
2009-01-13,24.530001,24.530001,24.040001,24.040001,24.040001,7682
2009-01-14,24.160000,24.160000,22.990000,22.990000,22.990000,1559
2009-01-15,23.070000,23.070000,23.070000,23.070000,23.070000,9
2009-01-16,23.240000,23.520000,23.219999,23.219999,23.219999,40330
2009-01-19,23.309999,23.320000,21.950001,22.500000,22.500000,154995
2009-01-20,22.900000,22.900000,22.120001,22.129999,22.129999,196935
2009-01-21,21.969999,22.139999,21.750000,21.870001,21.870001,25967
2009-01-22,22.430000,22.559999,21.809999,21.809999,21.809999,2781
2009-01-23,21.790001,21.790001,21.200001,21.410000,21.410000,3863
2009-01-26,21.670000,22.799999,21.670000,22.440001,22.440001,266450
2009-01-27,22.200001,22.330000,22.200001,22.330000,22.330000,11500
2009-01-28,22.830000,23.250000,22.830000,23.170000,23.170000,30856
2009-01-29,23.190001,23.190001,22.650000,22.730000,22.730000,8095
2009-01-30,22.879999,22.879999,22.520000,22.580000,22.580000,13900
2009-02-02,21.740000,22.129999,21.740000,22.129999,22.129999,2430
2009-02-03,22.360001,22.530001,22.150000,22.530001,22.530001,10261
2009-02-04,22.809999,23.420000,22.799999,23.219999,23.219999,24669
2009-02-05,22.860001,23.059999,22.670000,23.049999,23.049999,50575
2009-02-06,23.250000,23.709999,23.240000,23.709999,23.709999,91028
2009-02-09,23.480000,23.690001,23.469999,23.690001,23.690001,50300
2009-02-10,23.299999,23.469999,22.940001,22.940001,22.940001,88412
2009-02-11,22.680000,22.889999,22.600000,22.820000,22.820000,92834
2009-02-12,22.360001,22.469999,22.180000,22.190001,22.190001,20270
2009-02-13,22.760000,22.790001,22.440001,22.440001,22.440001,113320
2009-02-16,22.330000,22.330000,22.219999,22.219999,22.219999,20031
2009-02-17,21.760000,21.760000,21.360001,21.360001,21.360001,8484
2009-02-18,21.520000,21.520000,20.950001,21.420000,21.420000,125067
2009-02-19,21.469999,21.500000,21.360001,21.360001,21.360001,17032
2009-02-20,20.950001,20.950001,20.379999,20.459999,20.459999,78511
2009-02-23,20.639999,20.730000,20.059999,20.110001,20.110001,56367
2009-02-24,19.969999,19.969999,19.719999,19.790001,19.790001,12576
2009-02-25,20.360001,20.360001,19.580000,19.850000,19.850000,36939
2009-02-26,20.200001,20.520000,20.200001,20.520000,20.520000,13000
2009-02-27,20.049999,20.090000,19.830000,20.030001,20.030001,32551
2009-03-02,19.459999,19.459999,18.959999,18.959999,18.959999,29546
2009-03-03,19.040001,19.160000,18.820000,19.110001,19.110001,25415
2009-03-04,19.240000,19.559999,19.150000,19.559999,19.559999,30732
2009-03-05,19.400000,19.410000,19.030001,19.110001,19.110001,4123
2009-03-06,18.639999,18.650000,18.340000,18.340000,18.340000,53354
2009-03-09,18.299999,18.299999,17.860001,18.200001,18.200001,10798
2009-03-10,18.270000,19.350000,18.270000,19.350000,19.350000,250919
2009-03-11,19.180000,19.770000,19.080000,19.670000,19.670000,15504
2009-03-12,19.049999,19.690001,19.049999,19.639999,19.639999,27463
2009-03-13,20.389999,20.389999,19.879999,19.980000,19.980000,48987
2009-03-16,20.240000,20.510000,20.240000,20.430000,20.430000,31735
2009-03-17,20.250000,20.350000,20.139999,20.299999,20.299999,42617
2009-03-18,20.510000,20.510000,20.190001,20.190001,20.190001,4345
2009-03-19,20.639999,20.700001,20.510000,20.510000,20.510000,15395
2009-03-20,20.540001,21.040001,20.540001,20.629999,20.629999,9420
2009-03-23,21.070000,21.459999,21.030001,21.459999,21.459999,21278
2009-03-24,21.760000,21.760000,21.389999,21.430000,21.430000,90254
2009-03-25,21.620001,21.830000,21.340000,21.650000,21.650000,32850
2009-03-26,21.750000,21.750000,21.680000,21.690001,21.690001,11395
2009-03-27,21.709999,21.709999,21.240000,21.360001,21.360001,7168
2009-03-30,20.950001,20.950001,20.350000,20.350000,20.350000,24750
2009-03-31,20.469999,20.590000,20.469999,20.540001,20.540001,1345
2009-04-01,20.500000,20.600000,20.500000,20.600000,20.600000,3470
2009-04-02,21.780001,22.129999,21.780001,21.940001,21.940001,65516
2009-04-03,22.320000,22.490000,22.320000,22.389999,22.389999,78515
2009-04-06,22.490000,22.490000,21.900000,21.900000,21.900000,680
2009-04-07,22.010000,22.010000,21.629999,21.700001,21.700001,49094
2009-04-08,21.700001,22.100000,21.700001,22.100000,22.100000,4301
2009-04-09,22.350000,22.650000,22.250000,22.650000,22.650000,31953
2009-04-14,22.660000,23.170000,22.660000,23.170000,23.170000,15138
2009-04-15,22.709999,22.950001,22.709999,22.820000,22.820000,114085
2009-04-16,22.990000,23.389999,22.889999,23.250000,23.250000,24956
2009-04-17,23.340000,23.610001,23.230000,23.480000,23.480000,59148
2009-04-20,23.480000,23.510000,22.639999,22.690001,22.690001,94060
2009-04-21,22.650000,22.950001,22.170000,22.170000,22.170000,51288
2009-04-22,22.510000,23.090000,22.480000,23.090000,23.090000,74869
2009-04-23,22.920000,23.230000,22.879999,23.190001,23.190001,77013
2009-04-24,23.139999,23.389999,23.080000,23.389999,23.389999,51563
2009-04-27,23.160000,23.430000,23.090000,23.430000,23.430000,20022
2009-04-28,22.750000,23.379999,22.750000,23.350000,23.350000,71475
2009-04-29,23.270000,23.549999,23.270000,23.309999,23.309999,88834
2009-04-30,24.059999,24.389999,24.059999,24.389999,24.389999,477736
2009-05-04,24.400000,24.780001,24.350000,24.780001,24.780001,456966
2009-05-05,24.700001,25.090000,24.700001,24.900000,24.900000,339823
2009-05-06,24.670000,24.860001,24.670000,24.860001,24.860001,40050
2009-05-07,25.219999,25.549999,24.719999,24.719999,24.719999,91658
2009-05-08,24.990000,25.430000,24.980000,25.280001,25.280001,32630
2009-05-11,25.230000,25.230000,24.780001,24.930000,24.930000,264762
