Date,Open,High,Low,Close,Adj Close,Volume
2013-03-06,9.860000,9.860000,9.860000,9.860000,-5.430933,0
2013-03-07,null,null,null,null,null,null
2013-03-08,9.930000,9.935000,9.930000,9.935000,-5.472244,2000
2013-03-11,null,null,null,null,null,null
2013-03-12,null,null,null,null,null,null
2013-03-13,null,null,null,null,null,null
2013-03-14,null,null,null,null,null,null
2013-03-15,10.020000,10.020000,10.020000,10.020000,-5.519063,0
2013-03-18,null,null,null,null,null,null
2013-03-19,10.150000,10.150000,10.120000,10.120000,-5.574142,300
2013-03-20,null,null,null,null,null,null
2013-03-21,null,null,null,null,null,null
2013-03-22,null,null,null,null,null,null
2013-03-25,null,null,null,null,null,null
2013-03-26,null,null,null,null,null,null
2013-03-27,null,null,null,null,null,null
2013-03-28,10.320000,10.320000,10.320000,10.320000,-5.684303,0
2013-04-02,null,null,null,null,null,null
2013-04-03,null,null,null,null,null,null
2013-04-04,10.620000,10.620000,10.540000,10.540000,-5.805480,570
2013-04-05,null,null,null,null,null,null
2013-04-08,10.420000,10.420000,10.320000,10.390000,-5.722860,20150
2013-04-09,null,null,null,null,null,null
2013-04-10,null,null,null,null,null,null
2013-04-11,null,null,null,null,null,null
2013-04-12,null,null,null,null,null,null
2013-04-15,10.490000,10.490000,10.370000,10.370000,-5.711844,11101
2013-04-16,10.530000,10.530000,10.460000,10.460000,-5.761416,560
2013-04-17,null,null,null,null,null,null
2013-04-18,null,null,null,null,null,null
2013-04-19,null,null,null,null,null,null
2013-04-22,null,null,null,null,null,null
2013-04-23,null,null,null,null,null,null
2013-04-24,null,null,null,null,null,null
2013-04-25,null,null,null,null,null,null
2013-04-26,null,null,null,null,null,null
2013-04-29,null,null,null,null,null,null
2013-04-30,null,null,null,null,null,null
2013-05-02,null,null,null,null,null,null
2013-05-03,10.990000,10.990000,10.990000,10.990000,-6.053343,0
2013-05-06,11.120000,11.120000,11.000000,11.000000,-6.058851,2050
2013-05-07,null,null,null,null,null,null
2013-05-08,11.050000,11.050000,11.050000,11.050000,-6.086391,0
2013-05-09,null,null,null,null,null,null
2013-05-10,null,null,null,null,null,null
2013-05-13,11.330000,11.350000,11.320000,11.320000,-6.235108,2228
2013-05-14,null,null,null,null,null,null
2013-05-15,null,null,null,null,null,null
2013-05-16,null,null,null,null,null,null
2013-05-17,null,null,null,null,null,null
2013-05-20,11.800000,11.800000,11.720000,11.720000,-6.455430,3350
2013-05-21,11.760000,11.790000,11.750000,11.750000,-6.471954,580
2013-05-22,11.910000,12.020000,11.910000,12.020000,-6.620672,21214
2013-05-23,null,null,null,null,null,null
2013-05-24,11.150000,11.150000,10.900000,10.930000,-6.020295,1025
2013-05-27,null,null,null,null,null,null
2013-05-28,null,null,null,null,null,null
2013-05-29,null,null,null,null,null,null
2013-05-30,null,null,null,null,null,null
2013-05-31,null,null,null,null,null,null
2013-06-03,null,null,null,null,null,null
2013-06-04,null,null,null,null,null,null
2013-06-05,10.250000,10.250000,10.040000,10.040000,-5.530078,100
2013-06-06,null,null,null,null,null,null
2013-06-07,null,null,null,null,null,null
2013-06-10,null,null,null,null,null,null
2013-06-11,10.340000,10.340000,10.250000,10.340000,-5.695320,790
2013-06-12,null,null,null,null,null,null
2013-06-13,null,null,null,null,null,null
2013-06-14,null,null,null,null,null,null
2013-06-17,null,null,null,null,null,null
2013-06-18,null,null,null,null,null,null
2013-06-19,null,null,null,null,null,null
2013-06-20,null,null,null,null,null,null
2013-06-21,null,null,null,null,null,null
2013-06-24,10.530000,10.530000,10.130000,10.130000,-5.579651,10
2013-06-25,10.070000,10.290000,10.070000,10.290000,-5.667779,3900
2013-06-26,null,null,null,null,null,null
2013-06-27,null,null,null,null,null,null
2013-06-28,null,null,null,null,null,null
2013-07-01,null,null,null,null,null,null
2013-07-02,null,null,null,null,null,null
2013-07-03,null,null,null,null,null,null
2013-07-04,11.000000,11.000000,11.000000,11.000000,-6.058851,0
2013-07-05,null,null,null,null,null,null
2013-07-08,null,null,null,null,null,null
2013-07-09,11.280000,11.280000,11.280000,11.280000,-6.213076,0
2013-07-10,null,null,null,null,null,null
2013-07-11,null,null,null,null,null,null
2013-07-12,null,null,null,null,null,null
2013-07-15,11.350000,11.360000,11.280000,11.330000,-6.240616,1159
2013-07-16,null,null,null,null,null,null
2013-07-17,null,null,null,null,null,null
2013-07-18,null,null,null,null,null,null
2013-07-19,null,null,null,null,null,null
2013-07-22,11.220000,11.220000,11.220000,11.220000,-6.180028,0
2013-07-23,11.360000,11.360000,11.230000,11.230000,-6.185535,109
2013-07-24,null,null,null,null,null,null
2013-07-25,null,null,null,null,null,null
2013-07-26,null,null,null,null,null,null
2013-07-29,null,null,null,null,null,null
2013-07-30,null,null,null,null,null,null
2013-07-31,null,null,null,null,null,null
2013-08-01,10.820000,10.830000,10.820000,10.830000,-5.965214,370
2013-08-02,10.900000,10.950000,10.890000,10.890000,-5.998262,1740
2013-08-05,null,null,null,null,null,null
2013-08-06,null,null,null,null,null,null
2013-08-07,null,null,null,null,null,null
2013-08-08,null,null,null,null,null,null
2013-08-09,null,null,null,null,null,null
2013-08-12,10.590000,10.590000,10.500000,10.590000,-5.833021,413
2013-08-13,null,null,null,null,null,null
2013-08-14,null,null,null,null,null,null
2013-08-15,null,null,null,null,null,null
2013-08-16,null,null,null,null,null,null
2013-08-19,null,null,null,null,null,null
2013-08-20,null,null,null,null,null,null
2013-08-21,null,null,null,null,null,null
2013-08-22,null,null,null,null,null,null
2013-08-23,10.390000,10.400000,10.310000,10.370000,-5.711844,213
2013-08-26,10.380000,10.380000,10.380000,10.380000,-5.717352,0
2013-08-27,null,null,null,null,null,null
2013-08-28,null,null,null,null,null,null
2013-08-29,null,null,null,null,null,null
2013-08-30,10.370000,10.370000,10.280000,10.280000,-5.662271,1
2013-09-02,null,null,null,null,null,null
2013-09-03,null,null,null,null,null,null
2013-09-04,null,null,null,null,null,null
2013-09-05,10.740000,10.740000,10.740000,10.740000,-5.915641,0
2013-09-06,null,null,null,null,null,null
2013-09-09,null,null,null,null,null,null
2013-09-10,null,null,null,null,null,null
2013-09-11,10.870000,10.870000,10.860000,10.860000,-5.981738,100
2013-09-12,10.840000,10.840000,10.840000,10.840000,-5.970722,0
2013-09-13,null,null,null,null,null,null
2013-09-16,null,null,null,null,null,null
2013-09-17,null,null,null,null,null,null
2013-09-18,null,null,null,null,null,null
2013-09-19,null,null,null,null,null,null
2013-09-20,10.950000,11.050000,10.950000,11.020000,-6.069867,509
2013-09-23,null,null,null,null,null,null
2013-09-24,null,null,null,null,null,null
2013-09-25,10.970000,11.030000,10.970000,11.000000,-6.058851,10
2013-09-26,null,null,null,null,null,null
2013-09-27,11.070000,11.090000,11.070000,11.090000,-6.108423,2248
2013-09-30,10.950000,10.950000,10.950000,10.950000,-6.031311,0
2013-10-01,10.990000,11.020000,10.970000,11.010000,-6.064359,1429
2013-10-02,10.760000,10.760000,10.760000,10.760000,-5.926658,0
2013-10-04,10.690000,10.690000,10.690000,10.690000,-5.888101,0
2013-10-07,null,null,null,null,null,null
2013-10-08,null,null,null,null,null,null
2013-10-09,null,null,null,null,null,null
2013-10-10,null,null,null,null,null,null
2013-10-11,null,null,null,null,null,null
2013-10-14,null,null,null,null,null,null
2013-10-15,null,null,null,null,null,null
2013-10-16,null,null,null,null,null,null
2013-10-17,null,null,null,null,null,null
2013-10-18,null,null,null,null,null,null
2013-10-21,null,null,null,null,null,null
2013-10-22,10.980000,10.980000,10.980000,10.980000,-6.047834,0
2013-10-23,null,null,null,null,null,null
2013-10-24,null,null,null,null,null,null
2013-10-25,null,null,null,null,null,null
2013-10-28,10.730000,10.730000,10.650000,10.690000,-5.888101,3205
2013-10-29,10.710000,10.750000,10.710000,10.750000,-5.921150,141
2013-10-30,null,null,null,null,null,null
2013-10-31,null,null,null,null,null,null
2013-11-01,null,null,null,null,null,null
2013-11-04,null,null,null,null,null,null
2013-11-05,null,null,null,null,null,null
2013-11-06,null,null,null,null,null,null
2013-11-07,10.780000,10.790000,10.780000,10.790000,-5.943182,1140
2013-11-08,null,null,null,null,null,null
2013-11-11,null,null,null,null,null,null
2013-11-12,null,null,null,null,null,null
2013-11-13,11.060000,11.060000,11.010000,11.010000,-6.064359,200
2013-11-14,null,null,null,null,null,null
2013-11-15,null,null,null,null,null,null
2013-11-18,null,null,null,null,null,null
2013-11-19,null,null,null,null,null,null
2013-11-20,11.270000,11.370000,11.210000,11.370000,-6.262649,31125
2013-11-21,11.430000,11.520000,11.400000,11.460000,-6.312221,13106
2013-11-22,null,null,null,null,null,null
2013-11-25,null,null,null,null,null,null
2013-11-26,11.300000,11.350000,11.280000,11.280000,-6.213076,4216
2013-11-27,null,null,null,null,null,null
2013-11-28,null,null,null,null,null,null
2013-11-29,null,null,null,null,null,null
2013-12-02,null,null,null,null,null,null
2013-12-03,null,null,null,null,null,null
2013-12-04,11.210000,11.210000,11.140000,11.140000,-6.135963,4951
2013-12-05,null,null,null,null,null,null
2013-12-06,null,null,null,null,null,null
2013-12-09,null,null,null,null,null,null
2013-12-10,null,null,null,null,null,null
2013-12-11,10.960000,11.000000,10.930000,10.930000,-6.020295,1487
2013-12-12,null,null,null,null,null,null
2013-12-13,null,null,null,null,null,null
2013-12-16,null,null,null,null,null,null
2013-12-17,10.840000,10.840000,10.840000,10.840000,-5.970722,0
2013-12-18,null,null,null,null,null,null
2013-12-19,null,null,null,null,null,null
2013-12-20,null,null,null,null,null,null
2013-12-23,11.250000,11.290000,11.250000,11.290000,-6.218584,5439
2013-12-27,11.320000,11.320000,11.230000,11.290000,-6.218584,3628
2013-12-30,null,null,null,null,null,null
2014-01-02,11.380000,11.420000,11.320000,11.320000,-6.235108,71
2014-01-03,null,null,null,null,null,null
2014-01-06,null,null,null,null,null,null
2014-01-07,null,null,null,null,null,null
2014-01-08,null,null,null,null,null,null
2014-01-09,null,null,null,null,null,null
2014-01-10,null,null,null,null,null,null
2014-01-13,null,null,null,null,null,null
2014-01-14,null,null,null,null,null,null
2014-01-15,null,null,null,null,null,null
2014-01-16,11.090000,11.090000,11.080000,11.080000,-6.102915,275
2014-01-17,null,null,null,null,null,null
2014-01-20,null,null,null,null,null,null
2014-01-21,null,null,null,null,null,null
2014-01-22,null,null,null,null,null,null
2014-01-23,null,null,null,null,null,null
2014-01-24,null,null,null,null,null,null
2014-01-27,10.820000,10.820000,10.740000,10.740000,-5.915641,16153
2014-01-28,null,null,null,null,null,null
2014-01-29,null,null,null,null,null,null
2014-01-30,10.950000,10.950000,10.950000,10.950000,-6.031311,0
2014-01-31,10.750000,10.750000,10.660000,10.720000,-5.904625,2000
2014-02-03,null,null,null,null,null,null
2014-02-04,null,null,null,null,null,null
2014-02-05,null,null,null,null,null,null
2014-02-06,null,null,null,null,null,null
2014-02-07,null,null,null,null,null,null
2014-02-10,10.600000,10.600000,10.560000,10.560000,-5.816497,3270
2014-02-11,null,null,null,null,null,null
2014-02-12,null,null,null,null,null,null
2014-02-13,10.530000,10.530000,10.450000,10.450000,-5.755908,2178
2014-02-14,null,null,null,null,null,null
2014-02-17,null,null,null,null,null,null
2014-02-18,null,null,null,null,null,null
2014-02-19,null,null,null,null,null,null
2014-02-20,null,null,null,null,null,null
2014-02-21,null,null,null,null,null,null
2014-02-24,null,null,null,null,null,null
2014-02-25,null,null,null,null,null,null
2014-02-26,10.760000,10.760000,10.760000,10.760000,-5.926658,0
2014-02-27,10.710000,10.710000,10.670000,10.670000,-5.877085,12000
2014-02-28,null,null,null,null,null,null
2014-03-03,null,null,null,null,null,null
2014-03-04,null,null,null,null,null,null
2014-03-05,null,null,null,null,null,null
2014-03-06,null,null,null,null,null,null
2014-03-07,10.770000,10.770000,10.720000,10.720000,-5.904625,20046
2014-03-10,null,null,null,null,null,null
2014-03-11,null,null,null,null,null,null
2014-03-12,10.500000,10.500000,10.440000,10.440000,-5.750400,100
2014-03-13,null,null,null,null,null,null
2014-03-14,null,null,null,null,null,null
2014-03-17,null,null,null,null,null,null
2014-03-18,null,null,null,null,null,null
2014-03-19,10.320000,10.320000,10.310000,10.310000,-5.678796,93
2014-03-20,null,null,null,null,null,null
2014-03-21,null,null,null,null,null,null
2014-03-24,null,null,null,null,null,null
2014-03-25,null,null,null,null,null,null
2014-03-26,null,null,null,null,null,null
2014-03-27,null,null,null,null,null,null
2014-03-28,null,null,null,null,null,null
2014-03-31,null,null,null,null,null,null
2014-04-01,10.520000,10.520000,10.500000,10.510000,-5.788957,375
2014-04-02,null,null,null,null,null,null
2014-04-03,null,null,null,null,null,null
2014-04-04,10.720000,10.720000,10.720000,10.720000,-5.904625,0
2014-04-07,10.630000,10.630000,10.560000,10.560000,-5.816497,1266
2014-04-08,null,null,null,null,null,null
2014-04-09,null,null,null,null,null,null
2014-04-10,null,null,null,null,null,null
2014-04-11,null,null,null,null,null,null
2014-04-14,null,null,null,null,null,null
2014-04-15,null,null,null,null,null,null
2014-04-16,null,null,null,null,null,null
2014-04-17,10.320000,10.320000,10.310000,10.310000,-5.678796,11223
2014-04-22,null,null,null,null,null,null
2014-04-23,null,null,null,null,null,null
2014-04-24,10.310000,10.330000,10.270000,10.270000,-5.656764,287
2014-04-25,null,null,null,null,null,null
2014-04-28,10.230000,10.230000,10.230000,10.230000,-5.634731,0
2014-04-29,null,null,null,null,null,null
2014-04-30,null,null,null,null,null,null
2014-05-02,null,null,null,null,null,null
2014-05-05,null,null,null,null,null,null
2014-05-06,null,null,null,null,null,null
2014-05-07,10.100000,10.100000,10.080000,10.100000,-5.563127,555
2014-05-08,null,null,null,null,null,null
